09-24 02:45:10 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 16:29:56   V2 org.apache.cloudstack.api.BaseResponse::7: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:29:59   V1 org.apache.cloudstack.api.BaseResponse::7: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:03   V2 org.apache.cloudstack.api.BaseResponse::6: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:07   V1 org.apache.cloudstack.api.BaseResponse::6: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:10   V2 org.apache.cloudstack.api.BaseResponse::5: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:13   V1 org.apache.cloudstack.api.BaseResponse::5: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:16   V2 org.apache.cloudstack.api.BaseResponse::4: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:19   V1 org.apache.cloudstack.api.BaseResponse::4: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:23   V2 org.apache.cloudstack.api.BaseResponse::3: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:26   V1 org.apache.cloudstack.api.BaseResponse::3: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:29   V2 org.apache.cloudstack.api.BaseResponse::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:32   V1 org.apache.cloudstack.api.BaseResponse::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:35   V2 org.apache.cloudstack.api.BaseResponse::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:30:38   V1 org.apache.cloudstack.api.BaseResponse::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:32:15   V2 org.apache.cloudstack.backup.Backup::3: SUCCESS  model 8.65s (2 calls), audit 3.68s, total 97s, baseline reused
09-24 16:33:06   V1 org.apache.cloudstack.backup.Backup::3: FAILED_SYNTACTIC_VALIDITY  model 13.61s (3 calls), audit 0s, total 51s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 16:35:32   V2 org.apache.cloudstack.backup.Backup::2: SUCCESS  model 35.18s (5 calls), audit 2.94s, total 130s, baseline reused
09-24 16:38:58   V1 org.apache.cloudstack.backup.Backup::2: SUCCESS  model 33.12s (5 calls), audit 3.46s, total 206s, baseline reused
09-24 16:42:22   V2 org.apache.cloudstack.backup.Backup::1: SUCCESS  model 52.8s (6 calls), audit 3.17s, total 201s, baseline reused
09-24 16:47:31   V1 org.apache.cloudstack.backup.Backup::1: SUCCESS  model 42.68s (6 calls), audit 8.79s, total 310s, baseline reused
09-24 16:51:08   V2 org.apache.cloudstack.backup.BackupOfferingVO::4: SUCCESS  model 6.05s (2 calls), audit 3.45s, total 213s, baseline reused
09-24 16:54:58   V1 org.apache.cloudstack.backup.BackupOfferingVO::4: SUCCESS  model 20.8s (5 calls), audit 3.28s, total 231s, baseline reused
09-24 16:59:00   V2 org.apache.cloudstack.backup.BackupOfferingVO::3: SUCCESS  model 11.52s (2 calls), audit 4.15s, total 239s, baseline reused
09-24 17:04:03   V1 org.apache.cloudstack.backup.BackupOfferingVO::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 59.66s (10 calls), audit 0s, total 302s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 17:09:15   V2 org.apache.cloudstack.backup.BackupOfferingVO::2: SUCCESS  model 210.43s (19 calls), audit 5.54s, total 309s, baseline reused
09-24 17:12:52   V1 org.apache.cloudstack.backup.BackupOfferingVO::2: SUCCESS  model 124.57s (16 calls), audit 4.66s, total 217s, baseline reused
09-24 17:17:05   V2 org.apache.cloudstack.backup.BackupOfferingVO::1: SUCCESS  model 88.14s (9 calls), audit 3.82s, total 251s, baseline reused
09-24 17:18:33   V1 org.apache.cloudstack.backup.BackupOfferingVO::1: FAILED_SYNTACTIC_VALIDITY  model 38.85s (5 calls), audit 0s, total 87s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:22:31   V2 com.cloud.dc.dao.DataCenterDao::7: SUCCESS  model 81.23s (8 calls), audit 3.33s, total 235s, baseline reused
09-24 17:23:52   V1 com.cloud.dc.dao.DataCenterDao::7: FAILED_SYNTACTIC_VALIDITY  model 39.71s (6 calls), audit 0s, total 82s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:29:17   V2 com.cloud.dc.dao.DataCenterDao::6: SUCCESS  model 151.92s (13 calls), audit 3.27s, total 322s, baseline reused
09-24 17:30:43   V1 com.cloud.dc.dao.DataCenterDao::6: MODEL_DECLINED  model 84.39s (11 calls), audit 0s, total 86s, baseline -  | V1: The reusable helper requires a concrete zoneId, but the existing mock is stubbed with anyLong(). Replacing that stubbing with the helper would change behavi
09-24 17:38:23   V2 com.cloud.dc.dao.DataCenterDao::5: SUCCESS  model 121.85s (10 calls), audit 2.85s, total 458s, baseline reused
09-24 17:39:58   V1 com.cloud.dc.dao.DataCenterDao::5: FAILED_SYNTACTIC_VALIDITY  model 46.35s (7 calls), audit 0s, total 95s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:45:45   V2 com.cloud.dc.dao.DataCenterDao::4: SUCCESS  model 152.64s (13 calls), audit 2.54s, total 345s, baseline reused
09-24 17:47:46   V1 com.cloud.dc.dao.DataCenterDao::4: FAILED_SYNTACTIC_VALIDITY  model 77.79s (11 calls), audit 0s, total 120s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:50:39   V2 com.cloud.dc.dao.DataCenterDao::3: FAILED_SYNTACTIC_VALIDITY  model 110.77s (11 calls), audit 0s, total 155s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:52:25   V1 com.cloud.dc.dao.DataCenterDao::3: FAILED_SYNTACTIC_VALIDITY  model 66.42s (9 calls), audit 0s, total 106s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:52:31   V2 com.cloud.dc.dao.DataCenterDao::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:52:35   V1 com.cloud.dc.dao.DataCenterDao::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:52:38   V2 com.cloud.dc.dao.DataCenterDao::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:52:41   V1 com.cloud.dc.dao.DataCenterDao::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 17:55:30   V2 java.util.Map<java.lang.String, org.apache.cloudstack.auth.UserTwoFactorAuthenticator>::1: SUCCESS  model 55.5s (7 calls), audit 3.79s, total 169s, baseline reused
09-24 17:57:45   V1 java.util.Map<java.lang.String, org.apache.cloudstack.auth.UserTwoFactorAuthenticator>::1: SUCCESS  model 34.23s (6 calls), audit 2.74s, total 135s, baseline reused
09-24 17:59:22   V2 org.apache.cloudstack.ca.CAManager::1: FAILED_SYNTACTIC_VALIDITY  model 35.31s (4 calls), audit 0s, total 94s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:00:25   V1 org.apache.cloudstack.ca.CAManager::1: FAILED_SYNTACTIC_VALIDITY  model 18.89s (3 calls), audit 0s, total 63s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:02:19   V2 org.apache.cloudstack.api.command.admin.host.ListHostTagsCmd::1: SUCCESS  model 19.45s (3 calls), audit 3.29s, total 111s, baseline reused
09-24 18:04:05   V1 org.apache.cloudstack.api.command.admin.host.ListHostTagsCmd::1: SUCCESS  model 15.56s (5 calls), audit 3.44s, total 106s, baseline reused
09-24 18:04:11   V2 com.cloud.agent.api.GetHypervisorGuestOsNamesCommand::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:04:15   V1 com.cloud.agent.api.GetHypervisorGuestOsNamesCommand::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:06:58   V2 com.cloud.user.Account::44: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 164s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 18:09:55   V1 com.cloud.user.Account::44: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 177s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 18:12:06   V2 com.cloud.user.Account::43: SUCCESS  model 5.43s (2 calls), audit 3.36s, total 128s, baseline reused
09-24 18:14:06   V1 com.cloud.user.Account::43: SUCCESS  model 19.66s (5 calls), audit 3.32s, total 121s, baseline reused
09-24 18:16:48   V2 com.cloud.user.Account::42: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 159s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 18:19:34   V1 com.cloud.user.Account::42: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 166s, baseline -  | Selected target tests do not provide a valid baseline: Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 18:22:01   V2 com.cloud.user.Account::41: SUCCESS  model 30.62s (5 calls), audit 2.26s, total 119s, baseline reused
09-24 18:22:23   V1 com.cloud.user.Account::41: SUCCESS  model 17.84s (5 calls), audit 3.13s, total 22s, baseline reused
09-24 18:24:31   V2 com.cloud.user.Account::40: SUCCESS  model 38.74s (7 calls), audit 4.11s, total 126s, baseline reused
09-24 18:26:34   V1 com.cloud.user.Account::40: SUCCESS  model 29.29s (7 calls), audit 2.79s, total 122s, baseline reused
09-24 18:28:20   V2 com.cloud.user.Account::38: SUCCESS  model 6.8s (2 calls), audit 3.11s, total 104s, baseline reused
09-24 18:30:34   V1 com.cloud.user.Account::38: SUCCESS  model 32.05s (7 calls), audit 3.32s, total 134s, baseline reused
09-24 18:32:51   V2 com.cloud.user.Account::37: SUCCESS  model 21.47s (4 calls), audit 3.59s, total 134s, baseline reused
09-24 18:34:44   V1 com.cloud.user.Account::37: SUCCESS  model 14.89s (4 calls), audit 2.12s, total 114s, baseline reused
09-24 18:36:38   V2 com.cloud.user.Account::36: SUCCESS  model 19.97s (4 calls), audit 3.2s, total 111s, baseline reused
09-24 18:38:32   V1 com.cloud.user.Account::36: SUCCESS  model 20.02s (4 calls), audit 2.31s, total 114s, baseline reused
09-24 18:40:54   V2 com.cloud.user.Account::35: SUCCESS  model 50.13s (10 calls), audit 2.74s, total 139s, baseline reused
09-24 18:43:15   V1 com.cloud.user.Account::35: SUCCESS  model 42.54s (10 calls), audit 3.0s, total 141s, baseline reused
09-24 18:45:24   V2 com.cloud.user.Account::34: SUCCESS  model 5.69s (2 calls), audit 3.29s, total 124s, baseline reused
09-24 18:46:30   V1 com.cloud.user.Account::34: FAILED_SYNTACTIC_VALIDITY  model 19.85s (5 calls), audit 0s, total 66s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:48:18   V2 com.cloud.user.Account::33: SUCCESS  model 4.7s (2 calls), audit 2.81s, total 106s, baseline reused
09-24 18:49:28   V1 com.cloud.user.Account::33: FAILED_SYNTACTIC_VALIDITY  model 18.17s (4 calls), audit 0s, total 70s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:55:37   V2 com.cloud.user.Account::32: SUCCESS  model 217.18s (19 calls), audit 2.63s, total 367s, baseline reused
09-24 18:57:42   V1 com.cloud.user.Account::32: FAILED_SYNTACTIC_VALIDITY  model 69.28s (12 calls), audit 0s, total 125s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 18:59:53   V2 com.cloud.user.Account::31: SUCCESS  model 7.32s (2 calls), audit 2.55s, total 128s, baseline reused
09-24 19:02:00   V1 com.cloud.user.Account::31: SUCCESS  model 13.95s (4 calls), audit 4.42s, total 127s, baseline reused
09-24 19:04:31   V2 com.cloud.user.Account::30: SUCCESS  model 4.99s (2 calls), audit 3.44s, total 133s, baseline reused
09-24 19:06:53   V1 com.cloud.user.Account::30: SUCCESS  model 11.19s (4 calls), audit 2.9s, total 142s, baseline reused
09-24 19:08:43   V2 com.cloud.user.Account::29: SUCCESS  model 6.99s (2 calls), audit 2.93s, total 108s, baseline reused
09-24 19:10:56   V1 com.cloud.user.Account::29: SUCCESS  model 22.86s (5 calls), audit 4.14s, total 133s, baseline reused
09-24 19:15:30   V2 com.cloud.user.Account::28: SUCCESS  model 45.72s (5 calls), audit 3.38s, total 272s, baseline reused
09-24 19:17:29   V1 com.cloud.user.Account::28: SUCCESS  model 13.57s (4 calls), audit 4.0s, total 120s, baseline reused
09-24 19:19:22   V2 com.cloud.user.Account::27: SUCCESS  model 8.33s (2 calls), audit 2.85s, total 110s, baseline reused
09-24 19:21:20   V1 com.cloud.user.Account::27: SUCCESS  model 12.54s (4 calls), audit 3.12s, total 118s, baseline reused
09-24 19:23:31   V2 com.cloud.user.Account::26: SUCCESS  model 7.59s (2 calls), audit 3.33s, total 129s, baseline reused
09-24 19:25:41   V1 com.cloud.user.Account::26: SUCCESS  model 27.32s (7 calls), audit 3.2s, total 129s, baseline reused
09-24 19:27:28   V2 com.cloud.user.Account::25: SUCCESS  model 4.22s (2 calls), audit 2.75s, total 105s, baseline reused
09-24 19:29:16   V1 com.cloud.user.Account::25: SUCCESS  model 9.9s (4 calls), audit 3.7s, total 108s, baseline reused
09-24 19:31:07   V2 com.cloud.user.Account::24: SUCCESS  model 7.88s (2 calls), audit 4.08s, total 109s, baseline reused
09-24 19:33:14   V1 com.cloud.user.Account::24: SUCCESS  model 27.04s (6 calls), audit 7.32s, total 127s, baseline reused
09-24 19:36:31   V2 com.cloud.user.Account::23: SUCCESS  model 79.5s (11 calls), audit 7.75s, total 194s, baseline reused
09-24 19:37:12   V1 com.cloud.user.Account::23: MODEL_DECLINED  model 40.41s (6 calls), audit 0s, total 42s, baseline -  | V1: stub does not match reusable method: caller.getDomainId() is required by the test but is not configured by createMockAccount(long id).
09-24 19:37:19   V2 com.cloud.user.Account::22: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 19:37:22   V1 com.cloud.user.Account::22: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 19:40:48   V2 com.cloud.user.Account::21: SUCCESS  model 91.72s (11 calls), audit 2.6s, total 206s, baseline reused
09-24 19:43:07   V1 com.cloud.user.Account::21: SUCCESS  model 37.58s (8 calls), audit 3.04s, total 139s, baseline reused
09-24 19:45:59   V2 com.cloud.user.Account::20: SUCCESS  model 36.2s (4 calls), audit 3.28s, total 152s, baseline reused
09-24 19:47:56   V1 com.cloud.user.Account::20: SUCCESS  model 17.32s (4 calls), audit 2.47s, total 116s, baseline reused
09-24 19:48:51   V2 com.cloud.user.Account::19: SUCCESS  model 6.03s (2 calls), audit 3.77s, total 52s, baseline reused
09-24 19:49:47   V1 com.cloud.user.Account::19: FAILED_BEHAVIORAL_EQUIVALENCE  model 13.78s (3 calls), audit 0s, total 56s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 19:50:36   V2 com.cloud.user.Account::18: SUCCESS  model 5.82s (2 calls), audit 3.04s, total 49s, baseline reused
09-24 19:51:38   V1 com.cloud.user.Account::18: SUCCESS  model 14.57s (4 calls), audit 8.99s, total 62s, baseline reused
09-24 19:52:47   V2 com.cloud.user.Account::17: SUCCESS  model 18.44s (4 calls), audit 3.24s, total 66s, baseline reused
09-24 19:53:17   V1 com.cloud.user.Account::17: FAILED_SYNTACTIC_VALIDITY  model 14.17s (3 calls), audit 0s, total 30s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 19:56:20   V2 com.cloud.user.Account::16: SUCCESS  model 44.36s (5 calls), audit 2.58s, total 183s, baseline reused
09-24 19:58:15   V1 com.cloud.user.Account::16: SUCCESS  model 11.77s (4 calls), audit 1.94s, total 116s, baseline reused
09-24 20:00:20   V2 com.cloud.user.Account::15: SUCCESS  model 6.89s (2 calls), audit 3.27s, total 122s, baseline reused
09-24 20:02:55   V1 com.cloud.user.Account::15: SUCCESS  model 39.42s (9 calls), audit 3.4s, total 155s, baseline reused
09-24 20:05:23   V2 com.cloud.user.Account::14: SUCCESS  model 29.01s (4 calls), audit 7.88s, total 144s, baseline reused
09-24 20:07:46   V1 com.cloud.user.Account::14: SUCCESS  model 19.11s (4 calls), audit 4.04s, total 144s, baseline reused
09-24 20:09:37   V2 com.cloud.user.Account::13: SUCCESS  model 19.58s (4 calls), audit 3.2s, total 108s, baseline reused
09-24 20:11:26   V1 com.cloud.user.Account::13: SUCCESS  model 10.02s (4 calls), audit 2.4s, total 109s, baseline reused
09-24 20:13:04   V2 com.cloud.user.Account::12: SUCCESS  model 4.64s (2 calls), audit 3.66s, total 95s, baseline reused
09-24 20:13:58   V1 com.cloud.user.Account::12: FAILED_SYNTACTIC_VALIDITY  model 17.59s (3 calls), audit 0s, total 54s, baseline reused  | Compilation did not pass / ±àÒëÎ´Í¨¹ı
09-24 20:15:46   V2 com.cloud.user.Account::11: SUCCESS  model 6.17s (2 calls), audit 2.64s, total 106s, baseline reused
09-24 20:18:05   V1 com.cloud.user.Account::11: SUCCESS  model 29.84s (7 calls), audit 3.76s, total 139s, baseline reused
09-24 20:20:22   V2 com.cloud.user.Account::10: SUCCESS  model 8.13s (2 calls), audit 3.19s, total 114s, baseline reused
09-24 20:22:35   V1 com.cloud.user.Account::10: SUCCESS  model 27.5s (7 calls), audit 3.89s, total 133s, baseline reused
09-24 20:26:44   V2 com.cloud.user.Account::8: SUCCESS  model 132.2s (19 calls), audit 4.26s, total 246s, baseline reused
09-24 20:30:16   V1 com.cloud.user.Account::8: SUCCESS  model 98.24s (18 calls), audit 3.78s, total 213s, baseline reused
09-24 20:32:37   V2 com.cloud.user.Account::7: FAILED_BEHAVIORAL_EQUIVALENCE  model 42.63s (6 calls), audit 0s, total 138s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 20:34:52   V1 com.cloud.user.Account::7: SUCCESS  model 23.54s (6 calls), audit 3.48s, total 135s, baseline reused
09-24 20:37:05   V2 com.cloud.user.Account::6: SUCCESS  model 20.98s (4 calls), audit 2.66s, total 130s, baseline reused
09-24 20:38:54   V1 com.cloud.user.Account::6: SUCCESS  model 14.61s (4 calls), audit 2.91s, total 110s, baseline reused
09-24 20:41:27   V2 com.cloud.user.Account::5: SUCCESS  model 44.8s (5 calls), audit 15.48s, total 150s, baseline reused
09-24 20:43:21   V1 com.cloud.user.Account::5: SUCCESS  model 20.12s (5 calls), audit 3.88s, total 114s, baseline reused
09-24 20:47:53   V2 com.cloud.user.Account::4: SUCCESS  model 81.32s (7 calls), audit 10.1s, total 270s, baseline reused
09-24 20:50:08   V1 com.cloud.user.Account::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 45.15s (5 calls), audit 0s, total 135s, baseline reused  | Test execution did not pass / ²âÊÔÖ´ĞĞÎ´Í¨¹ı
09-24 20:51:42   V2 com.cloud.user.Account::3: SUCCESS  model 7.86s (2 calls), audit 4.62s, total 91s, baseline reused
09-24 20:53:20   V1 com.cloud.user.Account::3: SUCCESS  model 15.12s (4 calls), audit 3.73s, total 98s, baseline reused
09-24 20:53:26   V2 com.cloud.user.Account::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ±àÒëÎ´Í¨¹ı / Î´ĞŞ¸ÄµÄ¸ôÀë¸±±¾ÎŞ·¨Ìá¹©¿ÉÑéÖ¤µÄ»ùÏßÖ¤¾İ£ºCompilation did not pass / ±àÒëÎ´Í¨¹ı
